run,freq_hz,base_accel_ms2,base_phase_rad,mass_accel_ms2,mass_phase_rad
1g_ds_33mm_6mm_1195g,10.0,9.79976817,1.75306,9.4054356,1.79183
1g_ds_33mm_6mm_1195g,10.1451,9.81,1.75288,9.41711931,1.7916
1g_ds_33mm_6mm_1195g,10.2901,9.8203005,1.75271,9.42881283,1.79137
1g_ds_33mm_6mm_1195g,10.4352,9.830502899999999,1.75253,9.44049654,1.79114
1g_ds_33mm_6mm_1195g,10.5803,9.840705300000002,1.75235,9.45218025,1.7909
1g_ds_33mm_6mm_1195g,10.7254,9.851005800000001,1.75217,9.463863960000001,1.79067
1g_ds_33mm_6mm_1195g,10.8704,9.8612082,1.75199,9.47554767,1.79044
1g_ds_33mm_6mm_1195g,11.0155,9.8733726,1.75178,9.48934053,1.79017
1g_ds_33mm_6mm_1195g,11.1606,9.897603300000002,1.7511,9.51502311,1.78937
1g_ds_33mm_6mm_1195g,11.3057,9.9271314,1.75026,9.54635625,1.78839
1g_ds_33mm_6mm_1195g,11.4507,9.9566595,1.74942,9.577689390000002,1.78741
1g_ds_33mm_6mm_1195g,11.5958,9.986187600000001,1.74859,9.60902253,1.78643
1g_ds_33mm_6mm_1195g,11.7409,10.0158138,1.74775,9.64035567,1.78546
1g_ds_33mm_6mm_1195g,11.8859,10.0453419,1.74691,9.67169862,1.78448
1g_ds_33mm_6mm_1195g,12.031,10.0855629,1.74577,9.71433288,1.78315
1g_ds_33mm_6mm_1195g,12.1761,10.1311794,1.74451,9.76042026,1.78158
1g_ds_33mm_6mm_1195g,12.3212,10.2025962,1.74255,9.8324649,1.77914
1g_ds_33mm_6mm_1195g,12.4662,10.274013,1.74058,9.904568400000002,1.77669
1g_ds_33mm_6mm_1195g,12.6113,10.345429800000002,1.73861,9.976671900000001,1.77424
1g_ds_33mm_6mm_1195g,12.7564,10.416944700000002,1.73665,10.0487754,1.7718
1g_ds_33mm_6mm_1195g,12.9015,10.488361500000002,1.73468,10.120878900000001,1.76935
1g_ds_33mm_6mm_1195g,13.0465,10.559778300000001,1.73271,10.1929824,1.7669
1g_ds_33mm_6mm_1195g,13.1916,10.5983316,1.73165,10.231928100000001,1.76558
1g_ds_33mm_6mm_1195g,13.3367,10.781582400000001,1.7271,10.4119416,1.75987
1g_ds_33mm_6mm_1195g,13.4817,10.9071504,1.72398,10.5353514,1.75596
1g_ds_33mm_6mm_1195g,13.6268,11.032718400000002,1.72086,10.6587612,1.75205
1g_ds_33mm_6mm_1195g,13.7719,11.158286400000001,1.71774,10.782171,1.74813
1g_ds_33mm_6mm_1195g,13.917,11.2838544,1.71462,10.9054827,1.74422
1g_ds_33mm_6mm_1195g,14.062,11.409422400000002,1.7115,11.0288925,1.74031
1g_ds_33mm_6mm_1195g,14.2071,11.4999687,1.70925,11.117869200000001,1.73748
1g_ds_33mm_6mm_1195g,14.3522,11.718241200000001,1.70437,11.3281956,1.73169
1g_ds_33mm_6mm_1195g,14.4972,11.8890333,1.70055,11.492611199999999,1.72715
1g_ds_33mm_6mm_1195g,14.6423,12.0597273,1.69673,11.6570268,1.72262
1g_ds_33mm_6mm_1195g,14.7874,12.2305194,1.69291,11.821442399999999,1.71808
