run,freq_hz,temperature_C,G_storage_pa,G_loss_pa,G_abs_pa,tan_delta,force_dyn_N,strain_dyn_pct
sd_100hz,100,22.8521,5556489.681882809,3815192.5022694105,6740198.173217376,0.6866192003755576,0.3150576486751899,0.0074393928571447904
sd_100hz,100,22.8224,5309446.577820866,2901294.9496469516,6050432.657883287,0.5464401811229294,0.6660455682638958,0.01752014285714741
sd_100hz,100,22.8243,5172331.893071749,3145052.3780639907,6053459.479739923,0.6080530876753549,0.8262684312419382,0.021723892857148503
sd_100hz,100,22.8652,5073238.240263348,2640045.4640189903,5719054.667911262,0.5203866522700396,1.1115067842141,0.030932000000008036
sd_100hz,100,22.8254,5205641.987762399,3153739.119798376,6086442.2235409,0.6058309670953734,1.7318819831446985,0.04528714285715463
sd_100hz,100,22.8253,5330138.052771026,3119945.615426102,6176117.899199648,0.5853404892213079,2.72931527895485,0.07033285714287542
sd_100hz,100,22.8082,5256965.7795983115,2990736.1759263715,6048156.089409595,0.5689091961627523,3.7925410664947736,0.09979928571431165
sd_100hz,100,22.8193,5208093.045871336,2998796.6386032337,6009743.293531881,0.57579551904905,5.5782257767880035,0.14772714285718128
sd_100hz,100,22.7924,4990253.188897812,3011459.2252217755,5828508.690435154,0.6034682231998955,7.85679809972407,0.21454000000005577
sd_100hz,100,22.8063,4730414.0676728245,3000229.9841776844,5601624.515227327,0.634242571846079,11.161407453012353,0.3171210714286538
sd_100hz,100,22.803,4453953.732973957,2899432.626479964,5314547.338294123,0.6509795117570696,15.580840531082371,0.4666000000001212
sd_100hz,100,22.7935,4144771.285639567,2827781.259791816,5017516.902163067,0.6822526660492124,21.531236795266445,0.6829678571430347
sd_100hz,100,22.791,3917423.8538372363,2722615.6648835577,4770623.19925629,0.6950015536911259,29.258635190022584,0.976110714285968
sd_100hz,100,22.774,3878736.3348427275,2714774.592578875,4734405.627292722,0.6999121255528579,29.276293020691462,0.9841714285716843
sd_100hz,100,22.7896,3863909.0203373074,2701839.160667875,4714841.224003466,0.6992502014014844,29.300682289571125,0.9890785714288284
