run,freq_hz,temperature_C,G_storage_pa,G_loss_pa,G_abs_pa,tan_delta,force_dyn_N,strain_dyn_pct
sd_100hz,100,22.2568,5850780.086158412,1125015.2208616121,5957959.958220443,0.1922846533786387,0.4946826628323798,0.013214454545472026
sd_100hz,100,22.2466,6073261.114821853,781675.96415612,6123358.382599092,0.12870778143367362,0.5005790124767265,0.01301077272728994
sd_100hz,100,22.2444,5805645.47335986,1050208.9895826033,5899869.344667214,0.1808944404892887,0.9539384492609199,0.025733454545488584
sd_100hz,100,22.2451,6193380.962734889,944762.9284997893,6265025.517955569,0.1525439714082433,1.1248818592677057,0.02857618181821962
sd_100hz,100,22.2324,5595396.948750766,788604.3957934056,5650695.878133424,0.140938060876891,1.4934622462846885,0.04206418181823747
sd_100hz,100,22.2431,5789212.447617095,689486.700366516,5830126.299972155,0.1190985313814691,2.4907101836513545,0.06799318181827177
sd_100hz,100,22.2574,5684776.503608877,749748.1763232078,5734004.37947893,0.13188701013087215,3.5624136810538483,0.09887954545467627
sd_100hz,100,22.2849,5546746.392824112,800381.0690481681,5604195.339386199,0.14429739749479623,5.202426166182641,0.14774500000019547
sd_100hz,100,22.2878,5579202.307949615,714421.5489328767,5624757.465225497,0.12805084123135702,7.567170653924324,0.21411636363664688
sd_100hz,100,22.2736,5398875.366591484,758702.3306719526,5451924.83904129,0.14052969908637664,10.888345198635674,0.3178572727276932
sd_100hz,100,22.3246,5228368.338720482,798962.2891015377,5289061.941851423,0.1528129307922985,15.45733327347577,0.46513181818243354
sd_100hz,100,22.3058,5020461.047055184,812447.4650453775,5085774.278166215,0.1618272619647012,21.759227680753508,0.6809363636372644
sd_100hz,100,22.3212,4861561.079025055,808152.5913340638,4928274.214770443,0.16623314573189155,29.30087740372216,0.9462500000012518
sd_100hz,100,22.3055,4847360.59688865,810555.53524231,4914662.250041262,0.16721585263588126,29.27482966455868,0.9480272727285268
sd_100hz,100,22.2606,4843623.834958536,802307.3918416029,4909622.08378426,0.16564196956233515,29.293463065982742,0.9496045454558016
