run,freq_hz,base_accel_ms2,base_phase_rad,mass_accel_ms2,mass_phase_rad
01g_1196g,10.0,0.973033299,1.81596,0.9300762900000001,1.86023
01g_1196g,10.1451,0.9755250390000001,1.81534,0.933249825,1.85579
01g_1196g,10.2901,0.98210853,1.81344,0.9402021720000001,1.83931
01g_1196g,10.4352,0.9877198500000001,1.81233,0.945653589,1.83688
01g_1196g,10.5803,1.00419084,1.80974,0.962798526,1.84739
01g_1196g,10.7254,1.01450115,1.80795,0.9746813790000001,1.85107
01g_1196g,10.8704,1.0257139800000001,1.80588,0.9877198500000001,1.85134
01g_1196g,11.0155,1.04837508,1.80097,1.01446191,1.84357
01g_1196g,11.1606,1.05891102,1.79814,1.02896109,1.83433
01g_1196g,11.3057,1.07568612,1.79246,1.0521225,1.81235
01g_1196g,11.4507,1.08098352,1.78988,1.0547221500000001,1.80456
01g_1196g,11.5958,1.08433854,1.78726,1.05173991,1.79712
01g_1196g,11.7409,1.08761508,1.78147,1.0393596900000002,1.77775
01g_1196g,11.8859,1.0885176,1.77865,1.03418001,1.77134
01g_1196g,12.031,1.0890081,1.7758,1.02994209,1.76974
01g_1196g,12.1761,1.0884096900000002,1.76886,1.02307509,1.77133
01g_1196g,12.3212,1.0870951500000001,1.76465,1.01950425,1.77011
01g_1196g,12.4662,1.0828179900000001,1.75675,1.01864097,1.77348
01g_1196g,12.6113,1.07901171,1.75326,1.01328471,1.77737
01g_1196g,12.7564,1.0739889900000001,1.75023,1.00260162,1.78262
01g_1196g,12.9015,1.06451253,1.74511,0.9913299300000001,1.78377
01g_1196g,13.0465,1.0614616200000002,1.74218,0.99440046,1.77223
01g_1196g,13.1916,1.0586069100000002,1.73555,1.0033766100000001,1.7411
01g_1196g,13.3367,1.05758667,1.73282,1.0028763,1.73902
01g_1196g,13.4817,1.05656643,1.73069,1.00236618,1.74886
01g_1196g,13.6268,1.05431994,1.72566,1.00255257,1.75629
01g_1196g,13.7719,1.05325065,1.72197,1.00389654,1.74039
01g_1196g,13.917,1.0515927600000001,1.71485,1.00986102,1.70677
01g_1196g,14.062,1.05031746,1.71225,1.0066041000000001,1.70338
01g_1196g,14.2071,1.04885577,1.71003,0.9982459800000001,1.70645
01g_1196g,14.3522,1.04658966,1.70711,0.98769042,1.72664
