run,freq_hz,base_accel_ms2,base_phase_rad,mass_accel_ms2,mass_phase_rad
1g_ds_33mm_6mm_258g,200.0,9.811471500000001,0.0491247,14.0374233,0.0361922
1g_ds_33mm_6mm_258g,200.3,9.80741997,0.04856,14.039875799999999,0.0357163
1g_ds_33mm_6mm_258g,200.6,9.8051931,0.0476085,14.0458599,0.0349905
1g_ds_33mm_6mm_258g,200.9,9.803378250000002,0.046832,14.0507649,0.0343981
1g_ds_33mm_6mm_258g,201.201,9.80111214,0.0458654,14.0568471,0.0336607
1g_ds_33mm_6mm_258g,201.501,9.80018019,0.0447814,14.0642046,0.0329022
1g_ds_33mm_6mm_258g,201.801,9.79895394,0.0433456,14.073916500000001,0.0318976
1g_ds_33mm_6mm_258g,202.101,9.79772769,0.0419099,14.0836284,0.030893
1g_ds_33mm_6mm_258g,202.401,9.7968546,0.0408827,14.0904954,0.0301742
1g_ds_33mm_6mm_258g,202.701,9.796579920000001,0.038406,14.107662900000001,0.0285949
1g_ds_33mm_6mm_258g,203.001,9.7963641,0.0364779,14.1210045,0.0273655
1g_ds_33mm_6mm_258g,203.302,9.796109040000001,0.0341912,14.1367986,0.0259074
1g_ds_33mm_6mm_258g,203.602,9.79666821,0.0320307,14.1476877,0.0247248
1g_ds_33mm_6mm_258g,203.902,9.797345100000001,0.0293767,14.1609312,0.0232721
1g_ds_33mm_6mm_258g,204.202,9.79802199,0.0267226,14.1742728,0.0218193
1g_ds_33mm_6mm_258g,204.502,9.79847325,0.0249803,14.1830037,0.0208656
1g_ds_33mm_6mm_258g,204.802,9.796109040000001,0.0200138,14.1920289,0.0187365
1g_ds_33mm_6mm_258g,205.103,9.79434324,0.0163172,14.1986997,0.0171517
1g_ds_33mm_6mm_258g,205.403,9.792361620000001,0.0121515,14.2061553,0.0153659
1g_ds_33mm_6mm_258g,205.703,9.7810605,0.00854022,14.203310400000001,0.0143022
1g_ds_33mm_6mm_258g,206.003,9.768111300000001,0.0044039,14.200073100000001,0.0130838
1g_ds_33mm_6mm_258g,206.303,9.755162100000002,0.000267794,14.1968358,0.0118655
1g_ds_33mm_6mm_258g,206.603,9.747422010000001,-0.00220336,14.1949719,0.0111376
1g_ds_33mm_6mm_258g,206.903,9.69884289,-0.00728437,14.1822189,0.0105458
1g_ds_33mm_6mm_258g,207.204,9.66420378,-0.0109068,14.173193700000002,0.0101239
1g_ds_33mm_6mm_258g,207.504,9.62721027,-0.0147755,14.1635799,0.00967336
1g_ds_33mm_6mm_258g,207.804,9.572598000000001,-0.0158702,14.1603426,0.0105077
1g_ds_33mm_6mm_258g,208.104,9.51401268,-0.0170446,14.1570072,0.0114028
1g_ds_33mm_6mm_258g,208.404,9.455427360000002,-0.0182191,14.153573700000003,0.012298
1g_ds_33mm_6mm_258g,208.704,9.423878400000001,-0.0188513,14.151807900000001,0.0127799
1g_ds_33mm_6mm_258g,209.005,9.34548669,-0.0145881,14.193990900000001,0.0158526
